"B73_S1","B73_S2","B73_S3","B73_S4","Mo17_S1","Mo17_S2","Mo17_S3","Mo17_S4","H_S1","H_S2","H_S3","H_S4","acs_S1","acs_S2","acs_S3","acs_S4","B73_S34","Mo17_S34","H_S34","acs_S34"
34655596.07,43998055.05,47571974.55,42402492.7,25458081.81,37333426.24,39310711.54,40244062.95,26946442.27,36897754.1,44594131.67,45471151.47,28009728.49,45271521.26,51304343.94,53178283.53,44987233.625,39777387.245,45032641.57,52241313.735
281689285.9,411892100.2,484681815.8,423949949.1,345266706.2,596704426.7,618905609.7,630999275.9,209949873.3,468869906.3,559623187.6,615538461.8,218820564.6,498795938.7,590876586.1,637412896.4,454315882.45,624952442.8,587580824.7,614144741.25
222908738.7,284475275.9,289304975.3,244104218.1,259121386,328583683.9,322485228.7,297524458.8,196618615.2,309117864,302214035.2,303235703.3,250952757.5,341125206.1,324694158.3,348361329.1,266704596.7,310004843.75,302724869.25,336527743.7
30654100.71,29768778.71,29256684.93,31392782.2,26402492.47,27359831.86,25670584.28,29810598.65,27116057.83,26016990.79,28320335.45,33282231.37,29169080.82,32252161,33101887.33,38268343.82,30324733.565,27740591.465,30801283.41,35685115.575
52428622.78,68024532.64,81584637.39,79346729.51,52802297.29,74444187.43,76014453.03,82529193.53,49769698.04,77518128.34,84811852.86,95670395.02,35537799.2,65655426.69,74202071.67,85688645.77,80465683.45,79271823.28,90241123.94,79945358.72
67897387.14,72158719.54,72372836.73,62919592.14,57115278.94,61928659.11,58219912.11,60780491.34,65404488.9,68580131.28,67374253.39,71928654.41,63754553.11,76266164.54,70437060.84,73239700.9,67646214.435,59500201.725,69651453.9,71838380.87
44609447.12,53299347.01,64362063.12,59402338.45,33709458.01,49860664.92,51427871.31,52028035.06,30043229.32,42687677.24,50926411.86,57201184.99,37772848.69,57596917.6,63296711.32,72760268.65,61882200.785,51727953.185,54063798.425,68028489.985
60842559.96,76023039.46,76346768.23,80540159.99,71439969.71,92837970.05,103318081.9,109220491.6,47664629.08,70280922.13,88703445.41,96169859.31,47164214.79,78446327.64,78789437.2,82220128.35,78443464.11,106269286.75,92436652.36,80504782.775
43811987.63,61858944.16,71556559.82,69563586.27,33157404.91,48059943.26,52791808.82,49200317.08,35657942.32,55364452.04,66856761.71,65154142.92,38269437.77,74987057.12,91133199.82,94096916.42,70560073.045,50996062.95,66005452.315,92615058.12
94447154.42,131534223.1,164763024.1,145199474.1,139018721.1,203585867.8,215109128.7,211685096.6,65170881.72,135581786.8,161175272.6,173539392.3,64191628.38,121784427.8,145413853.2,163535538.6,154981249.1,213397112.65,167357332.45,154474695.9
7639671.973,7593230.217,7588610.162,7517397.269,8419202.64,8690575.531,8638817.284,8700823.253,8211463.321,8158454.57,8269749.783,8642940.512,7307142.469,7788187.655,7690815.603,7795353.597,7553003.7155,8669820.2685,8456345.1475,7743084.6
9130136.801,10211052.96,11039943.17,9624432.235,6146136.013,6325007.846,6500816.189,6041355.05,6501116.61,6805781.425,7483982.728,7196331.925,9885119.423,12782748,13445467.89,12666822.61,10332187.7025,6271085.6195,7340157.3265,13056145.25
24423347.31,29994043.57,34950101.32,33015508.12,21781038.64,31675593.85,35354188.32,38906417.02,18526995.27,27517012.77,35543958.97,41253341.27,17798420.77,29946689.19,31426647.2,37724347.76,33982804.72,37130302.67,38398650.12,34575497.48
8694130.988,10839266.57,11671837.73,11246100.7,12329102.8,15028045.93,16032216.92,14921947.8,8023185.52,11011252.55,12761006.88,13448042.18,7983751.687,11408375.17,11861134.85,12448970.98,11458969.215,15477082.36,13104524.53,12155052.915
304904683.2,442568713.5,548054447.7,491272933,323488589.5,542378990.7,567237559.1,639836483.5,212487813.5,450791076.2,573098717,707318496.8,222878169.4,485562452.3,570764255.2,655641400.9,519663690.35,603537021.3,640208606.9,613202828.05
176651881.8,546924110.1,861617718.2,919035501.8,297950302.6,519397959.9,587909658.6,801582804.2,223237062.7,500287719.5,590694337.7,737523682.1,124789318.1,376752877.6,652003874.5,985662857.9,890326610,694746231.4,664109009.9,818833366.2
93015818.65,71531934.29,54533167.27,35949610.8,174645396.6,158096940.4,117028429.1,94078799.43,130563192.9,102890461.6,67415896.45,53284906.91,118171180.9,113408643.2,79422862.79,56435459.08,45241389.035,105553614.265,60350401.68,67929160.935
430164645.5,628249479.3,779618852.1,671454430.4,419807216.2,745583295.9,817285444.3,889999911,356382879.8,627851481.5,840792638.9,991120802.5,341602231.9,699649820.4,804838462.8,952249975.9,725536641.25,853642677.65,915956720.7,878544219.35
7928157.603,8518410.499,8136941.727,7618639.83,7479915.589,8749299.003,8192760.949,7999817.164,6882835.692,7512249.435,7848382.184,7851541.342,7016159.224,8674383.793,8230129.952,8036990.759,7877790.7785,8096289.0565,7849961.763,8133560.3555
243836727.6,369375972.3,511992901.3,446326895.9,250237931.2,450830388.6,568749319.6,584228670.8,176557976.3,349549164.9,507514309.1,591430007.3,220214870.5,443157269.6,591838763,691290825.9,479159898.6,576488995.2,549472158.2,641564794.45
11913878.34,12988122.37,13002324.59,11363279.55,12760421.11,13725670.73,13067006.16,11024873.25,10540464.87,12090053.28,12066861.59,11189025.81,11492865.84,14752526.73,14208566.87,12823658.64,12182802.07,12045939.705,11627943.7,13516112.755
89130928.89,106031155.1,110587838.7,104511913.6,93721549.6,110624890,113290252.8,118364814.2,85719127.69,105933886.8,112327004.4,115906811.8,74635115.54,105426484.8,103263189.6,110042248.6,107549876.15,115827533.5,114116908.1,106652719.1
26593662.28,17906438.3,14027070,12972666.41,19500250.54,11780887.91,9660663.437,9038048.393,24497231.01,16024420.23,12766741.99,11219020.23,26277467.71,22006945.6,18010335.11,14755407.73,13499868.205,9349355.915,11992881.11,16382871.42
7714878.822,10060231.59,10802611.7,9702156.137,6967008.74,8999222.595,9293657.016,8865977.689,6535869.803,8801689.727,9809128.582,10102337.23,6495559.743,10351286.22,11063404.31,11321381.73,10252383.9185,9079817.3525,9955732.906,11192393.02
58153680.86,77340246.4,98767466.32,76751982.39,60663792.22,125479908.7,135905662.1,150656208.3,29499393.83,82772198.72,114441404.2,149184957.7,42568285.33,91986192.55,108227022.7,122358890,87759724.355,143280935.2,131813180.95,115292956.35
52514883.33,74769714.46,87383860.69,78503211.53,42286153.74,71636707.02,75445219.54,80504502.6,33477535.8,64178029.42,78768227.87,93097158.06,32228929.25,63813821.66,80639759.22,94084936.4,82943536.11,77974861.07,85932692.965,87362347.81
14563740.13,13344173.81,11843111.57,11692336.58,14439738.27,12258825.18,11223021.63,10759696.76,13762173.42,12025750.72,10771794.51,9935498.537,11328039.19,11435509.06,10611221.22,9678825.911,11767724.075,10991359.195,10353646.5235,10145023.5655
58280073.06,55554323.66,51949792.44,41341664.25,66177602.76,64878182.37,58070153.31,54012486.09,70707343.92,74099683.42,61666654.57,57101927.21,69605745.39,77596845.2,66553112.91,62441412.59,46645728.345,56041319.7,59384290.89,64497262.75
10349032.11,10261640.65,9890623.886,9498923.16,13624715.78,11957145.69,11612456.08,14474887.97,11524983.67,10704529.99,10693606.7,12186849.08,11232688.61,11894123.42,11450778.92,13044663.71,9694773.523,13043672.025,11440227.89,12247721.315
41810935.03,54769342.42,60939025.64,53475618.73,38426627.58,57862113.09,62042824.86,60357750.68,29578006.69,51383640.01,59517990.67,64459094.19,31606691.8,54454101.78,59609066.09,63863308.73,57207322.185,61200287.77,61988542.43,61736187.41
208366946.3,293634134,314143983.3,253908768,186885222.3,325437383,333822203.2,387152290.6,181548262.2,315806578.5,398451652,431945127.6,120205700.5,276235228.8,279272502.8,270442472.2,284026375.65,360487246.9,415198389.8,274857487.5
53845415.2,89294700.97,124671943,120472727.2,62339871.1,117398397.9,142758149.3,162993822.2,47902873.1,117607638.4,159211624.8,194178363.1,31102572.93,84612373.07,110142027.2,139020712.4,122572335.1,152875985.75,176694993.95,124581369.8
8617292.09,7180970.454,6618683.003,5614091.336,19084656.4,17955944.93,13799846.16,12375530.16,11835609.33,10375227.19,9344262.625,8643713.152,9390625.958,9140346.534,7797024.498,7308459.105,6116387.1695,13087688.16,8993987.8885,7552741.8015
20699887.33,17488497.88,16545608.73,14835865.4,24393587.34,19659371.79,16398824.65,17587200.32,24335102.76,21075224.78,18353117.45,19142352.58,21950847.92,19704205.22,16434056.23,16120969.22,15690737.065,16993012.485,18747735.015,16277512.725
6091888.17,8234001.556,9355075.656,9141562.388,7463044.146,10305497.27,10636070.01,10273633.34,5553062.168,9056740.757,10814634.22,11887027.27,4842251.23,8337182.23,10476838.33,10970937.07,9248319.022,10454851.675,11350830.745,10723887.7
115890210.3,180239748.5,217590574.1,195292930.8,159881586.4,272316958,306326603.2,296727673.2,90219879.51,190522711.1,242448426.6,278825143.9,87215380.89,190680521.2,231124761.6,254392220.3,206441752.45,301527138.2,260636785.25,242758490.95
6731768.436,8065360.392,9091723.705,8017138.693,7745746.456,10863046.81,11321428.86,10952630.86,6300042.812,8895292.389,10195461.7,10971579.77,4865956.89,7857674.843,8122282.146,8657582.058,8554431.199,11137029.86,10583520.735,8389932.102
134259175.5,202935981.2,280601182.1,420071400.5,149198958.2,250138600.2,314945660,408555411.8,73562870.31,152161436.9,273953656.1,421591396,111069223.3,207602090.6,282494244.5,457777963.4,350336291.3,361750535.9,347772526.05,370136103.95
20039064.57,29484456.57,35896884.88,32683914.81,20490803.28,32954482.99,37415987.5,40702229.91,15645887.94,29836930.78,36928070.78,43899334.85,11234373.77,26641501.72,33247337.94,37561423.53,34290399.845,39059108.705,40413702.815,35404380.735
2227897.027,2273923.441,2264042.662,2297181.898,2697330.508,2828419.823,2634761.258,2655653.468,2424374.996,2577883.718,2426586.913,2475449.232,2242929.306,2286153.231,2293823.546,2322080.323,2280612.28,2645207.363,2451018.0725,2307951.9345
