"","values","ind","section","data"
"114",-0.476913025857546,"S1_HMP","S1","HMP"
"115",-0.258377428426559,"S1_HMP","S1","HMP"
"116",0.116722286188872,"S1_HMP","S1","HMP"
"117",-0.24880209172245,"S1_HMP","S1","HMP"
"118",-0.329515027109866,"S1_HMP","S1","HMP"
"119",-0.68965246281868,"S1_HMP","S1","HMP"
"120",-0.314011507782938,"S1_HMP","S1","HMP"
"121",-0.0952625240234025,"S1_HMP","S1","HMP"
"122",-0.301068270245604,"S1_HMP","S1","HMP"
"123",-0.801684275950147,"S1_HMP","S1","HMP"
"124",-0.380855476282367,"S1_HMP","S1","HMP"
"125",-0.0242540891774884,"S1_HMP","S1","HMP"
"126",-0.0605903012778669,"S1_HMP","S1","HMP"
"127",-0.206082558955547,"S1_HMP","S1","HMP"
"128",-0.0579510043310283,"S1_HMP","S1","HMP"
"129",-0.43676655662166,"S1_HMP","S1","HMP"
"130",0.100345416568129,"S1_HMP","S1","HMP"
"131",-0.00139042447301414,"S1_HMP","S1","HMP"
"132",-0.0174931062892203,"S1_HMP","S1","HMP"
"133",-0.204748530302703,"S1_HMP","S1","HMP"
"134",-0.17743299385511,"S1_HMP","S1","HMP"
"135",-0.38923286324632,"S1_HMP","S1","HMP"
"136",-0.0730581346637522,"S1_HMP","S1","HMP"
"137",-0.0741332450400993,"S1_HMP","S1","HMP"
"138",0.854606929573379,"S1_HMP","S1","HMP"
"139",-0.194444167005734,"S1_HMP","S1","HMP"
"140",-0.27271548242335,"S1_HMP","S1","HMP"
"141",-0.30556974037883,"S1_HMP","S1","HMP"
"142",0.191354986322897,"S1_HMP","S1","HMP"
"143",-0.581091038878437,"S1_HMP","S1","HMP"
"144",-0.250797486995169,"S1_HMP","S1","HMP"
"145",-0.367585733010812,"S1_HMP","S1","HMP"
"146",0.254772173446885,"S1_HMP","S1","HMP"
"147",-0.0445476309135017,"S1_HMP","S1","HMP"
"148",-0.0718759859465924,"S1_HMP","S1","HMP"
"149",-0.0901031903967762,"S1_HMP","S1","HMP"
"150",-0.202580613115452,"S1_HMP","S1","HMP"
"151",-0.178981928935085,"S1_HMP","S1","HMP"
"152",-0.0207135362147711,"S1_HMP","S1","HMP"
"153",-0.265593059731524,"S1_HMP","S1","HMP"
