"B73_S1","B73_S2","B73_S3","B73_S4","Mo17_S1","Mo17_S2","Mo17_S3","Mo17_S4","H_S1","H_S2","H_S3","H_S4","acs_S1","acs_S2","acs_S3","acs_S4","B73_S34","Mo17_S34","H_S34","acs_S34","S1_HMP","S2_HMP","S34_HMP","S1_acs_B73","S2_acs_B73","S34_acs_B73","S1_B73_Mo17","S2_B73_Mo17","S34_B73_Mo17","cor_HMP_acs","cor_HMP_B73Mo17"
41582040.8,58672014.79,68646496.46,62540918.56,40992608.06,64358377.34,68096483.94,63247475.82,35793568.06,56567261.82,60272305.84,60856808.17,38479611.48,63841121.48,69326193.72,73582866.94,65593707.51,65671979.88,60564557.005,71454530.33,-0.205998564517108,-0.120975504684522,-0.115944181734917,-0.1118663331775,0.121813460387096,0.123468061500944,0.0205967847587405,-0.13345541718816,-0.00172052842851199,0.999048632514907,-0.571478023403709
847618991.8,1343834286,1676085206,1313330111,600296260.6,1266610735,1354182632,1291806334,678373292.8,1407858336,1640837253,1778635089,720573675,1622211488,1884755115,2107648857,1494707658.5,1322994483,1709736171,1996201986,-0.0938258848490054,0.109206397703355,0.279254607520721,-0.234269966995435,0.271606672086493,0.417394364006885,0.497741232106634,0.0853820321878729,0.176056297902681,0.966948302029565,-0.775445104622709
25974994.92,29601419.8,33450128.67,33583631.44,20436499.57,24360001.93,26944078.83,28327530.38,22444679.43,26697140.65,31112829.43,35396347.18,21739771.25,26855824.13,30632098.41,34163620.37,33516880.055,27635804.605,33254588.305,32397859.39,-0.0481086634157984,-0.0152431268104754,0.121137574530286,-0.256786706843748,-0.140431380375366,-0.0489893672085081,0.345975359032544,0.281152127270463,0.278349244258964,0.917692787010529,-0.677517104813874
30800911.28,38288983.34,43771135.77,37782985.81,21057354.83,26784465.8,29234586.03,28506235.42,22757297.65,28676598.86,34252032.45,35058979.38,27962604.06,36841675.81,43963338.3,45339516.54,40777060.79,28870410.725,34655505.915,44651427.42,-0.188244717448674,-0.182195098319591,-0.00698639846845281,-0.139474315187723,-0.0555906673417003,0.130948506598406,0.548648815169045,0.515532831183781,0.498166157436748,0.961481163125622,-0.782316344588106
161720912.5,192327294,201377303.8,157681005,104900060.2,148759855.1,161650199.4,173585192.5,130767768.9,164410974.9,173998137.3,173974451,169734435.7,212701816.2,212122744.4,208185914.5,179529154.4,167617695.95,173986294.15,210154329.45,-0.0277832737435856,-0.0528337943418762,0.00342757960619012,0.0697730392951053,0.145268835797686,0.227231030543043,0.624490743211943,0.370578268512373,0.0990436805042311,0.573226024338738,-0.569659956435648
23688180.87,22097573.9,19928477.36,20897309.75,24654809.04,17600682.29,21329701.9,17670911.59,23326293.93,18032302.74,20847591.1,17843586.99,24899163.03,20768482.07,26765386.21,22343794.81,20412893.555,19500306.745,19345589.045,24554590.51,-0.0513495925926799,-0.138491994164365,-0.0448613035177839,0.0719298365040506,-0.0894922082224765,0.26651206249382,-0.0577016674107531,0.328256628358935,0.0659838826913475,0.870175528108516,-0.928192745322303
7450718.372,7063304.465,6369127.435,6007963.545,6751457.052,6604459.322,5852046.16,5577485.169,7374553.681,7096028.548,6268938.42,6017948.743,7454697.606,7176350.568,6214049.463,5957498.543,6188545.49,5714765.6645,6143443.5815,6085774.003,0.0545157110021154,0.0543064991314098,0.0457565154932957,0.000770300044385713,0.0229070828201924,-0.0241596089551899,0.142180643783805,0.0969028262528942,0.11490602734433,0.872606945947833,0.138164655702711
27532129.48,33698421.77,36456173.06,31473019.86,30794774.7,43544639.38,44952215.83,44922915.08,23508064.96,34350098.73,38370745.93,41112564.46,27855094.47,40842916.57,42203695.37,43427694,33964596.46,44937565.455,39741655.195,42815694.685,-0.311005712133103,-0.16909109388264,0.0105871299090187,0.0168250089872969,0.277404866055816,0.334108020048935,-0.161569373307969,-0.369814098997817,-0.403890253602375,0.911885492466621,-0.895590895665821
28725549.9,38601675.15,43555947.87,40084629.76,33616626.81,48372688.15,50179476.8,48936783.92,24994100.76,39564290.66,44780749.26,48029851,23878232.95,40164929.94,41791825.07,44449009.13,41820288.815,49558130.36,46405300.13,43120417.1,-0.318620905757905,-0.136391320891176,0.0224361061010686,-0.266638433539622,0.0572729042768586,0.0441681078652984,-0.226840456636443,-0.325529257216735,-0.244918735746903,0.867943619418544,-0.210894165304912
9661985.287,12068815.74,13149080.96,11536827,6215681.341,7972291.096,8939918.393,8802325.12,7479937.424,9684925.865,10529383.76,10885613.97,8827621.265,11451735.82,12767956.86,11828882.52,12342953.98,8871121.7565,10707498.865,12298419.69,-0.0859008045811629,-0.0491492776933951,0.0135997002304066,-0.130294921458818,-0.0757178233822805,-0.00521476360418857,0.636407112803507,0.598217823644639,0.476499258622717,0.997087421778751,-0.989766046690207
