"","B73_S1","Mo17_S1","H_S1","acs_S1","S1_HMP","S1_acs_B73","S1_B73_Mo17","HP","LP","Category","B73_S2","Mo17_S2","H_S2","acs_S2","S2_HMP","S2_acs_B73","S2_B73_Mo17","HP.1","LP.1","Category.1","B73_S34","Mo17_S34","H_S34","acs_S34","S34_HMP","S34_acs_B73","S34_B73_Mo17","HP.2","LP.2","Category.2"
"Zm00001d022510_T016",34297990.54,30122775,29741876.06,31956356.13,-0.115030152323222,-0.102021141621367,0.187269372356491,"B73","Mo17","BLP",39922131.37,38532180.79,38217810.56,40085978.46,-0.0376076147240205,0.00590894385973902,0.0511249056697046,"B73","Mo17","BLP",39640185.005,37784629.97,39191484.835,41968496.255,0.017744202650601,0.0823430761601048,0.0691642013982738,"B73","Mo17","Additive"
"Zm00001d038262_T001",47097696.18,53856845.79,54377436.58,50317358.36,0.107374228300606,0.0953996922993076,-0.193473247605695,"Mo17","B73","AHP",37137752.95,45202541.57,43034458.39,42204214.99,0.0638937029177066,0.184500563488197,-0.283517365796939,"Mo17","B73","Additive",25858067.17,30359176.84,29108350.49,25513574.675,0.0504203583566615,-0.0193493938028679,-0.23151823288894,"Mo17","B73","Additive"
"Zm00001d044903_T026",14537392.78,12466900.25,12539113.7,13333220.55,-0.106753401175698,-0.124743255363539,0.221665750810922,"B73","Mo17","Additive",16349432.52,14990810.18,15002384.61,17243161.08,-0.0628245186434772,0.0767837174338703,0.125162205417855,"B73","Mo17","Additive",15332418.52,14008292.505,14761728.94,16456819.05,0.0089578714314725,0.10210021899312,0.130304170293811,"B73","Mo17","Additive"
"Zm00001d039598_T001",20000068.12,17586096.8,17103165.36,16705334.31,-0.135938362531692,-0.259696059389894,0.185569598832008,"B73","Mo17","BLP",23369187.95,19144622.15,19891258.47,23414656.88,-0.095797004765921,0.00280429369231942,0.287668416591493,"B73","Mo17","Additive",20827758.855,16882648.005,19138560.09,20031958.055,0.0215195753123884,-0.0562041618094339,0.302966403096783,"B73","Mo17","Additive"
"Zm00001d014294_T005",22380918.33,10779210.25,19694879.79,20293022.31,0.248371010356875,-0.141285487285359,1.05401775252775,"B73","Mo17","Additive",18498645.98,9269077.499,16203961.73,17149783.1,0.22293767935642,-0.109229345451072,0.996922008140291,"B73","Mo17","Additive",14653507.47,8282520.8385,13205430.18,12821069.155,0.203515709173844,-0.192729456110165,0.823104196914742,"B73","Mo17","Additive"
"Zm00001d042842_T006",23025615.72,19964277.76,20871020.38,18168461.57,-0.0424964003347411,-0.341803472130802,0.205818854348656,"B73","Mo17","Additive",30541406.09,28384339.66,29753083.47,27923978.37,0.0141410783241667,-0.129261984565559,0.105671304822911,"B73","Mo17","Additive",33084333.69,29080257.215,33719131.095,34863106.695,0.117474308222942,0.0755529112108412,0.186108194381189,"B73","Mo17","AHP"
"Zm00001d009877_T001",96076801.59,59793051.71,74592435.56,67078385.17,-0.063240685286853,-0.518340166122235,0.684210279466552,"B73","Mo17","Additive",123114738.9,79907507.72,107681340.6,105427628.8,0.085130453656611,-0.22375049181771,0.623600523735966,"B73","Mo17","Additive",131689618.55,85531190.56,141597543.45,125960962.85,0.382633920910919,-0.0641649278725241,0.622619091523932,"B73","Mo17","AHP"
"Zm00001d000316_T001",357407442.6,323863741,218103667.8,269662438.7,-0.643215153301185,-0.406415094687309,0.142182720629696,"B73","Mo17","BLP",572173142.2,635732296.6,520280012.1,618888678.1,-0.215147328679967,0.113228150475611,-0.151967603213035,"Mo17","B73","BLP",708117998.4,698483486.75,715209465.5,860439578.7,0.0242240895510465,0.281084101522774,0.0197637777324061,"B73","Mo17","AHP"
"Zm00001d033910_T003",59208243.52,49366671.67,41514230.83,41554416.31,-0.387012952289156,-0.510796243672062,0.262260674192582,"B73","Mo17","BLP",76793477.49,73549089.13,62102057.35,66058606.5,-0.275540569857483,-0.21723724336462,0.0622763052864442,"B73","Mo17","BLP",89868726.36,85341216.915,86424105.185,87429039.215,-0.0195789847674725,-0.0397066111995136,0.0745764734050108,"B73","Mo17","Additive"
"Zm00001d007092_T001",29773922.7,35182522.28,22879024.01,28950134.28,-0.5054471671134,-0.0404792685641724,-0.240809606693235,"Mo17","B73","BLP",39396045.25,50211151.88,36510538.02,44409236.17,-0.295301683757393,0.172808944637351,-0.349957009034809,"Mo17","B73","BLP",37442357.96,46355289.18,37772342.74,40969491.39,-0.149579470387543,0.129878690231956,-0.308062668476294,"Mo17","B73","Additive"
"Zm00001d019501_T004",4939408.764,5706113.986,5058773.678,4796875.744,-0.0733871936130555,-0.0422432956940651,-0.208170201824629,"Mo17","B73","Additive",5686997.852,6889415.615,6450245.408,6109340.196,0.0367054018221681,0.103349319133241,-0.276714354160498,"Mo17","B73","Additive",6039756.2165,6615664.9165,6394551.4865,6418729.2475,0.0151595605698723,0.0877973880073425,-0.131395844810406,"Mo17","B73","Additive"
"Zm00001d051194_T001",53070663.4,52104516.76,27879841.65,14855022.23,-0.915500017153149,-1.83696381888889,0.0265061428460173,"B73","Mo17","BLP",149952258.4,149632976.9,134001612.5,105459510.7,-0.160716162681344,-0.507814042321926,0.00307509153868237,"B73","Mo17","BLP",400781927.5,327737903.9,366913016,327998054.55,0.0104698390178715,-0.289130196573413,0.290274919742834,"B73","Mo17","Additive"
"Zm00001d051600_T010",10318117.11,9522396.664,10091191.27,8704653.602,0.0246471102637316,-0.245320933503135,0.115783094178403,"B73","Mo17","Additive",9511834.042,8299980.086,8548215.821,8446690.754,-0.0591392239860839,-0.171337311071566,0.196615668809412,"B73","Mo17","Additive",8591767.665,7956745.957,7997118.919,7598690.4175,-0.049149394436257,-0.177204179770232,0.110776443732664,"B73","Mo17","Additive"
"Zm00001d021469_T001",2873212.615,3193710.819,2970506.083,2930497.194,-0.030256361445281,0.0284807010515702,-0.152568932043944,"Mo17","B73","Additive",2245792.417,2287616.111,2145935.738,2221086.912,-0.0789893015864467,-0.0159587355565402,-0.026620388394303,"Mo17","B73","BLP",1877582.2885,1749762.727,1684238.0355,1876181.564,-0.106817923267467,-0.00107668913815696,0.101716836284064,"B73","Mo17","BLP"
"Zm00001d043662_T001",7011437.658,6317425.4,7058511.315,5920595.832,0.082882122244394,-0.243967919608512,0.150373568462292,"B73","Mo17","AHP",7906436.494,7853928.373,8513625.669,7051463.746,0.111544628645875,-0.165104840953936,0.00961316399708372,"B73","Mo17","AHP",9181095.3645,10442141.7555,10924398.975,9060003.371,0.154990856138388,-0.0191546997641672,-0.185679457050838,"Mo17","B73","AHP"
"Zm00001d003817_T001",34655596.07,25458081.81,26946442.27,28009728.49,-0.157598482852319,-0.307160333919608,0.444964612157914,"B73","Mo17","Additive",43998055.05,37333426.24,36897754.1,45271521.26,-0.140280885233098,0.0411640360145454,0.236971833607059,"B73","Mo17","BLP",44987233.625,39777387.245,45032641.57,52241313.735,0.0875088700929114,0.215675522620448,0.177567138116097,"B73","Mo17","AHP"
